Time,Conductivity,Temperature,Pressure,Sea pressure,Depth,Salinity,Speed of sound,Specific conductivity,Density anomaly
2023-09-13 14:26:09.000,34.9161930,15.7291822,10.6256228,0.4931228,0.4891016,27.3060312,1500.0790992,42425.5345767,19.8992291
2023-09-13 14:26:09.500,34.8550675,15.7335551,10.6260378,0.4935378,0.4895132,27.2500585,1500.0284913,42346.9643750,19.8553653
2023-09-13 14:26:10.000,34.8761058,15.7467246,10.6138672,0.4813672,0.4774418,27.2592233,1500.0806455,42359.5762911,19.8595403
2023-09-13 14:26:10.500,34.8518631,15.7560942,10.5942957,0.4617957,0.4580299,27.2317942,1500.0784506,42320.9307890,19.8364202
2023-09-13 14:26:11.000,34.8574386,15.7662428,10.5665502,0.4340502,0.4305107,27.2296550,1500.1077209,42317.7379880,19.8324955
2023-09-13 14:26:11.500,34.8595147,15.7779038,10.5488908,0.4163908,0.4129953,27.2234461,1500.1372582,42308.8156608,19.8251716
2023-09-13 14:26:12.000,34.8631413,15.7830265,10.5154952,0.3829952,0.3798720,27.2230762,1500.1525224,42308.1918755,19.8236474
2023-09-13 14:26:12.500,34.8648535,15.7906959,10.5160734,0.3835734,0.3804455,27.2192905,1500.1724853,42302.7477768,19.8191127
2023-09-13 14:26:13.000,34.8743979,15.7965374,10.5026628,0.3701628,0.3671442,27.2235396,1500.1956720,42308.5995709,19.8210667
2023-09-13 14:26:13.500,34.8725550,15.8006964,10.4724660,0.3399660,0.3371937,27.2190997,1500.2032405,42302.2861037,19.8166400
2023-09-13 14:26:14.000,34.8760539,15.8005407,10.4516067,0.3191067,0.3165045,27.2222393,1500.2060174,42306.6830926,19.8189877
2023-09-13 14:26:14.500,34.8792990,15.7998123,10.4318496,0.2993496,0.2969085,27.2255524,1500.2071977,42311.3338310,19.8215955
2023-09-13 14:26:15.000,34.8886425,15.8005959,10.4178251,0.2853251,0.2829983,27.2330999,1500.2181404,42321.8996675,19.8271543
2023-09-13 14:26:15.500,34.8695924,15.8171980,10.3937194,0.2612194,0.2590892,27.2052387,1500.2382621,42282.5224244,19.8021387
2023-09-13 14:26:16.000,34.8801897,15.8377412,10.4573100,0.3248100,0.3221613,27.2002883,1500.2986749,42275.2537019,19.7942431
